Model,R²,MAE,MAPE (%),MdAPE (%),RMSE
Linear Regression,0.6409065170175721,358818.4675190315,33.01904200590986,24.98850851302481,588365.2506569352
Decision Tree,0.8134333256698998,210000.70177953618,15.552862175695623,10.145677377073737,424092.203363471
Random Forest,0.8746449082446253,168733.00807768528,12.45800850950195,7.9309982676797395,347627.594227166
XGBoost,0.9009470929017896,160000.80829537334,12.58888244634712,8.370978343300399,309013.0825838614
LightGBM,0.9059769504561045,156025.12506079525,12.162196130583848,8.33196719631301,301065.1038626534
